1,1/1/2025,#ERROR!,#ERROR!,#ERROR!,#ERROR!
2,1/2/2025,,,,
3,1/3/2025,,,,
4,1/4/2025,,,,
5,1/5/2025,,,,
6,1/6/2025,,,,
7,1/7/2025,,,,
8,1/8/2025,,,,
9,1/9/2025,,,,
10,1/10/2025,,,,
11,1/11/2025,,,,
12,1/12/2025,,,,
13,1/13/2025,,,,
14,1/14/2025,,,,
15,1/15/2025,,,,
16,1/16/2025,,,,
17,1/17/2025,,,,
18,1/18/2025,,,,
19,1/19/2025,,,,
20,1/20/2025,,,,
21,1/21/2025,,,,
22,1/22/2025,,,,
23,1/23/2025,,,,
24,1/24/2025,,,,
25,1/25/2025,,,,
26,1/26/2025,,,,
27,1/27/2025,,,,
28,1/28/2025,,,,
29,1/29/2025,,,,
30,1/30/2025,,,,
31,1/31/2025,,,,
32,2/1/2025,,,,
33,2/2/2025,,,,
34,2/3/2025,,,,
35,2/4/2025,,,,
36,2/5/2025,,,,
37,2/6/2025,,,,
38,2/7/2025,,,,
39,2/8/2025,,,,
40,2/9/2025,,,,
41,2/10/2025,,,,
42,2/11/2025,,,,
43,2/12/2025,,,,
44,2/13/2025,,,,
45,2/14/2025,,,,
46,2/15/2025,,,,
47,2/16/2025,,,,
48,2/17/2025,,,,
49,2/18/2025,,,,
50,2/19/2025,,,,
51,2/20/2025,,,,
52,2/21/2025,,,,
53,2/22/2025,,,,
54,2/23/2025,,,,
55,2/24/2025,,,,
56,2/25/2025,,,,
57,2/26/2025,,,,
58,2/27/2025,,,,
59,2/28/2025,,,,
60,3/1/2025,,,,
61,3/2/2025,,,,
62,3/3/2025,,,,
63,3/4/2025,,,,
64,3/5/2025,,,,
65,3/6/2025,,,,
66,3/7/2025,,,,
67,3/8/2025,,,,
68,3/9/2025,,,,
69,3/10/2025,,,,
70,3/11/2025,,,,
71,3/12/2025,,,,
72,3/13/2025,,,,
73,3/14/2025,,,,
74,3/15/2025,,,,
75,3/16/2025,,,,
76,3/17/2025,,,,
77,3/18/2025,,,,
78,3/19/2025,,,,
79,3/20/2025,,,,
80,3/21/2025,,,,
81,3/22/2025,,,,
82,3/23/2025,,,,
83,3/24/2025,,,,
84,3/25/2025,,,,
85,3/26/2025,,,,
86,3/27/2025,,,,
87,3/28/2025,,,,
88,3/29/2025,,,,
89,3/30/2025,,,,
90,3/31/2025,,,,
91,4/1/2025,,,,
92,4/2/2025,,,,
93,4/3/2025,,,,
94,4/4/2025,,,,
95,4/5/2025,,,,
96,4/6/2025,,,,
97,4/7/2025,,,,
98,4/8/2025,,,,
99,4/9/2025,,,,
100,4/10/2025,,,,
101,4/11/2025,,,,
102,4/12/2025,,,,
103,4/13/2025,,,,
104,4/14/2025,,,,
105,4/15/2025,,,,
106,4/16/2025,,,,
107,4/17/2025,,,,
108,4/18/2025,,,,
109,4/19/2025,,,,
110,4/20/2025,,,,
111,4/21/2025,,,,
112,4/22/2025,,,,
113,4/23/2025,,,,
114,4/24/2025,,,,
115,4/25/2025,,,,
116,4/26/2025,,,,
117,4/27/2025,,,,
118,4/28/2025,,,,
119,4/29/2025,,,,
120,4/30/2025,,,,
121,5/1/2025,,,,
122,5/2/2025,,,,
123,5/3/2025,,,,
124,5/4/2025,,,,
125,5/5/2025,,,,
126,5/6/2025,,,,
127,5/7/2025,,,,
128,5/8/2025,,,,
129,5/9/2025,,,,
130,5/10/2025,,,,
131,5/11/2025,,,,
132,5/12/2025,,,,
133,5/13/2025,,,,
134,5/14/2025,,,,
135,5/15/2025,,,,
136,5/16/2025,,,,
137,5/17/2025,,,,
138,5/18/2025,,,,
139,5/19/2025,,,,
140,5/20/2025,,,,
141,5/21/2025,,,,
142,5/22/2025,,,,
143,5/23/2025,,,,
144,5/24/2025,,,,
145,5/25/2025,,,,
146,5/26/2025,,,,
147,5/27/2025,,,,
148,5/28/2025,,,,
149,5/29/2025,,,,
150,5/30/2025,,,,
151,5/31/2025,,,,
152,6/1/2025,,,,
153,6/2/2025,,,,
154,6/3/2025,,,,
155,6/4/2025,,,,
156,6/5/2025,,,,
157,6/6/2025,,,,
158,6/7/2025,,,,
159,6/8/2025,,,,
160,6/9/2025,,,,
161,6/10/2025,,,,
162,6/11/2025,,,,
163,6/12/2025,,,,
164,6/13/2025,,,,
165,6/14/2025,,,,
166,6/15/2025,,,,
167,6/16/2025,,,,
168,6/17/2025,,,,
169,6/18/2025,,,,
170,6/19/2025,,,,
171,6/20/2025,,,,
172,6/21/2025,,,,
173,6/22/2025,,,,
174,6/23/2025,,,,
175,6/24/2025,,,,
176,6/25/2025,,,,
177,6/26/2025,,,,
178,6/27/2025,,,,
179,6/28/2025,,,,
180,6/29/2025,,,,